model,seed,accuracy,pvalue
RandomForest,42,0.47,0.54455
GradientBoosting,42,0.52,0.42574
KNN,42,0.61,0.18812
RandomForest,42,0.47,0.50495
GradientBoosting,42,0.52,0.42574
KNN,42,0.61,0.18812
RandomForest,42,0.47,0.53465
GradientBoosting,42,0.52,0.40594
KNN,42,0.61,0.18812
RandomForest,42,0.47,0.51485
GradientBoosting,42,0.52,0.44554
KNN,42,0.61,0.18812
RandomForest,42,0.47,0.54455
GradientBoosting,42,0.52,0.41584
KNN,42,0.61,0.18812
RandomForest,42,0.47,0.56436
GradientBoosting,42,0.52,0.44554
KNN,42,0.61,0.18812
